master_run_number,chirp_rate,fraction,CA+_mean,CA+_std_dev,CA+_percentile_0,CA+_percentile_10,CA+_percentile_20,CA+_percentile_30,CA+_percentile_40,CA+_percentile_50,CA+_percentile_60,CA+_percentile_70,CA+_percentile_80,CA+_percentile_90,CA+_percentile_100,CA-_mean,CA-_std_dev,CA-_percentile_0,CA-_percentile_10,CA-_percentile_20,CA-_percentile_30,CA-_percentile_40,CA-_percentile_50,CA-_percentile_60,CA-_percentile_70,CA-_percentile_80,CA-_percentile_90,CA-_percentile_100
15795,25.09374,0.4355118735078506,4271.655457227139,2025.2223842035394,-3526.0,1709.6000000000004,2575.0,3207.0,3755.0,4282.0,4793.0,5312.0,5928.800000000003,6845.0,12323.0,4271.655457227139,2025.2223842035394,-3526.0,1709.6000000000004,2575.0,3207.0,3755.0,4282.0,4793.0,5312.0,5928.800000000003,6845.0,12323.0
15795,25.09374,0.4355118735078506,5514.95592920354,2053.338506334888,-2433.0,2893.0,3827.0,4477.0,5027.0,5528.0,6033.0,6555.0,7193.0,8078.0,13700.0,5514.95592920354,2053.338506334888,-2433.0,2893.0,3827.0,4477.0,5027.0,5528.0,6033.0,6555.0,7193.0,8078.0,13700.0
15795,25.09374,0.4355118735078506,4927.314985250738,2043.1421515987938,-2621.0,2325.0,3223.0,3890.0,4424.0,4929.0,5459.0,5989.0,6603.0,7497.4000000000015,13268.0,4927.314985250738,2043.1421515987938,-2621.0,2325.0,3223.0,3890.0,4424.0,4929.0,5459.0,5989.0,6603.0,7497.4000000000015,13268.0
15795,25.09647,0.5956258547138549,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09311,0.4356368688444734,4314.505899705015,1976.7280725921921,-3244.0,1810.6000000000004,2644.0,3284.0,3815.0,4306.0,4793.0,5312.0,5944.0,6829.0,12524.0,4314.505899705015,1976.7280725921921,-3244.0,1810.6000000000004,2644.0,3284.0,3815.0,4306.0,4793.0,5312.0,5944.0,6829.0,12524.0
15795,25.09311,0.4356368688444734,3362.393569321534,2028.4407294788757,-4353.0,812.0,1673.0,2303.0,2849.0,3334.0,3859.0,4401.0,5027.0,5949.0,12872.0,3362.393569321534,2028.4407294788757,-4353.0,812.0,1673.0,2303.0,2849.0,3334.0,3859.0,4401.0,5027.0,5949.0,12872.0
15795,25.09311,0.4356368688444734,4764.423176470588,1995.714169143887,-3155.0,2236.0,3101.0,3730.7999999999993,4258.0,4767.0,5253.0,5774.0,6401.800000000003,7271.4000000000015,13231.0,4764.423176470588,1995.714169143887,-3155.0,2236.0,3101.0,3730.7999999999993,4258.0,4767.0,5253.0,5774.0,6401.800000000003,7271.4000000000015,13231.0
15795,25.09192,0.63827013183441,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09661,0.5608777218123492,4144.249294117647,1977.9683999362985,-3800.0,1629.0,2491.0,3119.0,3650.0,4153.0,4644.0,5155.0,5779.800000000003,6640.0,12363.0,4144.249294117647,1977.9683999362985,-3800.0,1629.0,2491.0,3119.0,3650.0,4153.0,4644.0,5155.0,5779.800000000003,6640.0,12363.0
15795,25.09661,0.5608777218123492,5375.906253687315,2004.715879736644,-2737.0,2853.0,3734.0,4336.0,4861.0,5367.0,5852.0,6401.0,7003.0,7921.0,14771.0,5375.906253687315,2004.715879736644,-2737.0,2853.0,3734.0,4336.0,4861.0,5367.0,5852.0,6401.0,7003.0,7921.0,14771.0
15795,25.09661,0.5608777218123492,4518.142064896755,2039.8647493470676,-3300.0,1904.0,2826.0,3481.0,4003.0,4517.0,5018.0,5544.0,6179.0,7101.4000000000015,13373.0,4518.142064896755,2039.8647493470676,-3300.0,1904.0,2826.0,3481.0,4003.0,4517.0,5018.0,5544.0,6179.0,7101.4000000000015,13373.0
15795,25.09675,0.4958371256090273,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09255,0.5149142467854682,4285.936411764706,2025.4341233171995,-3566.0,1722.0,2620.0,3239.0,3775.0,4278.0,4769.0,5304.0,5948.0,6817.0,13703.0,4285.936411764706,2025.4341233171995,-3566.0,1722.0,2620.0,3239.0,3775.0,4278.0,4769.0,5304.0,5948.0,6817.0,13703.0
15795,25.09255,0.5149142467854682,5947.836882352941,2045.3332996428546,-2292.0,3350.0,4263.0,4874.0,5435.0,5949.0,6446.0,6979.0,7610.0,8539.0,14957.0,5947.836882352941,2045.3332996428546,-2292.0,3350.0,4263.0,4874.0,5435.0,5949.0,6446.0,6979.0,7610.0,8539.0,14957.0
15795,25.09255,0.5149142467854682,4268.129705882353,2036.9821489153787,-3680.0,1686.0,2579.000000000001,3206.0,3760.0,4268.0,4783.0,5321.0,5932.0,6838.0,13826.0,4268.129705882353,2036.9821489153787,-3680.0,1686.0,2579.000000000001,3206.0,3760.0,4268.0,4783.0,5321.0,5932.0,6838.0,13826.0
15795,25.09304,0.4532560899927401,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09388,0.4433794995957267,4169.823235294118,2004.7260562718827,-3981.0,1634.0,2515.0,3135.0,3682.0,4165.0,4656.0,5183.0,5787.0,6684.0,14166.0,4169.823235294118,2004.7260562718827,-3981.0,1634.0,2515.0,3135.0,3682.0,4165.0,4656.0,5183.0,5787.0,6684.0,14166.0
15795,25.09388,0.4433794995957267,4904.9021764705885,2048.454131639407,-3298.0,2294.6000000000004,3204.0,3873.7999999999993,4417.0,4918.0,5423.0,5965.0,6567.0,7476.0,15632.0,4904.9021764705885,2048.454131639407,-3298.0,2294.6000000000004,3204.0,3873.7999999999993,4417.0,4918.0,5423.0,5965.0,6567.0,7476.0,15632.0
15795,25.09388,0.4433794995957267,3978.5475294117646,2031.1257157720117,-4259.0,1383.0,2288.0,2919.0,3469.0,3979.0,4480.0,5022.0,5657.0,6547.0,12103.0,3978.5475294117646,2031.1257157720117,-4259.0,1383.0,2288.0,2919.0,3469.0,3979.0,4480.0,5022.0,5657.0,6547.0,12103.0
15795,25.09472,0.581278325808933,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09598,0.6623448072828666,4037.9853529411766,2006.9024102911737,-3840.0,1469.0,2362.0,3002.0,3533.0,4040.0,4535.0,5067.0,5686.0,6616.0,13297.0,4037.9853529411766,2006.9024102911737,-3840.0,1469.0,2362.0,3002.0,3533.0,4040.0,4535.0,5067.0,5686.0,6616.0,13297.0
15795,25.09598,0.6623448072828666,3362.384705882353,2000.4200534773502,-4798.0,820.0,1689.0,2323.0,2869.0,3374.0,3851.0,4360.0,4987.0,5880.4000000000015,12969.0,3362.384705882353,2000.4200534773502,-4798.0,820.0,1689.0,2323.0,2869.0,3374.0,3851.0,4360.0,4987.0,5880.4000000000015,12969.0
15795,25.09598,0.6623448072828666,4488.5902352941175,1975.0306698077177,-2787.0,2001.0,2842.0,3461.0,3979.0,4480.0,4965.0,5507.0,6122.0,6979.4000000000015,12439.0,4488.5902352941175,1975.0306698077177,-2787.0,2001.0,2842.0,3461.0,3979.0,4480.0,4965.0,5507.0,6122.0,6979.4000000000015,12439.0
15795,25.09493,0.5895255844611749,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09633,0.640956260829066,4126.830383480826,2004.6855960960158,-3401.0,1557.0,2446.0,3074.0,3634.0,4141.0,4620.0,5147.0,5759.800000000003,6644.4000000000015,12605.0,4126.830383480826,2004.6855960960158,-3401.0,1557.0,2446.0,3074.0,3634.0,4141.0,4620.0,5147.0,5759.800000000003,6644.4000000000015,12605.0
15795,25.09633,0.640956260829066,4107.164955752212,2058.2135711512096,-4091.0,1487.0,2408.0,3031.0,3586.4000000000015,4090.0,4607.0,5141.199999999997,5771.0,6696.4000000000015,13680.0,4107.164955752212,2058.2135711512096,-4091.0,1487.0,2408.0,3031.0,3586.4000000000015,4090.0,4607.0,5141.199999999997,5771.0,6696.4000000000015,13680.0
15795,25.09633,0.640956260829066,4266.524058823529,2035.350407671713,-4133.0,1670.0,2575.0,3223.0,3756.0,4270.0,4751.0,5285.0,5920.0,6842.0,12499.0,4266.524058823529,2035.350407671713,-4133.0,1670.0,2575.0,3223.0,3756.0,4270.0,4751.0,5285.0,5920.0,6842.0,12499.0
15795,25.09423,0.4754284924287373,,,,,,,,,,,,,,,,,,,,,,,,,,
15795,25.09479,0.5520850666153335,4180.692764705882,2010.787569765668,-3844.0,1629.0,2519.0,3151.0,3682.0,4165.0,4660.0,5187.0,5811.0,6709.0,13522.0,4180.692764705882,2010.787569765668,-3844.0,1629.0,2519.0,3151.0,3682.0,4165.0,4660.0,5187.0,5811.0,6709.0,13522.0
15795,25.09479,0.5520850666153335,3242.2939233038346,2056.430117648381,-4761.0,642.0,1531.0,2198.0,2732.0,3237.0,3738.0,4296.0,4926.0,5831.0,12391.0,3242.2939233038346,2056.430117648381,-4761.0,642.0,1531.0,2198.0,2732.0,3237.0,3738.0,4296.0,4926.0,5831.0,12391.0
15795,25.09479,0.5520850666153335,4346.117522123894,2006.0995559912856,-2856.0,1810.6000000000004,2669.0,3322.7999999999993,3849.0,4345.0,4832.0,5347.199999999997,5968.0,6870.0,13470.0,4346.117522123894,2006.0995559912856,-2856.0,1810.6000000000004,2669.0,3322.7999999999993,3849.0,4345.0,4832.0,5347.199999999997,5968.0,6870.0,13470.0
