master_run_number,chirp_rate,fraction,CA+_mean,CA+_std_dev,CA+_percentile_0,CA+_percentile_10,CA+_percentile_20,CA+_percentile_30,CA+_percentile_40,CA+_percentile_50,CA+_percentile_60,CA+_percentile_70,CA+_percentile_80,CA+_percentile_90,CA+_percentile_100,CA-_mean,CA-_std_dev,CA-_percentile_0,CA-_percentile_10,CA-_percentile_20,CA-_percentile_30,CA-_percentile_40,CA-_percentile_50,CA-_percentile_60,CA-_percentile_70,CA-_percentile_80,CA-_percentile_90,CA-_percentile_100
15795,-25.09473,0.5920618044972508,4255.0369411764705,2013.085569684171,-3490.0,1710.0,2591.0,3215.0,3746.0,4233.0,4728.0,5260.0,5892.0,6825.0,12327.0,408.64935294117646,636.4090351704949,-20722.0,303.0,339.0,360.0,380.0,400.0,416.0,436.0,461.0,493.0,32767.0
15795,-25.093400000000003,0.5584128970061221,4140.541297935103,1944.4703685564832,-2866.0,1650.0,2523.0,3147.0,3662.0,4137.0,4620.0,5135.0,5727.0,6580.4000000000015,12923.0,411.0868436578171,656.8781127386209,64.0,307.0,335.0,360.0,380.0,396.0,416.0,432.0,457.0,489.0,32767.0
15795,-25.093120000000003,0.489730762472007,4209.816294117647,1995.6437163641995,-2930.0,1706.0,2531.0,3163.0,3690.0,4177.0,4704.0,5215.0,5843.0,6745.4000000000015,12424.0,405.12970588235294,712.9894266602594,-32767.0,307.0,335.0,360.0,380.0,396.0,412.0,432.0,457.0,489.0,32767.0
15795,-25.09172,0.4529564083863146,4273.091117647059,2005.2530811648448,-2355.0,1741.6000000000004,2595.0,3235.0,3763.0,4250.0,4753.0,5300.0,5940.0,6833.0,12408.0,404.5385882352941,664.4795439106113,-3633.0,299.0,327.0,351.0,372.0,392.0,408.0,428.0,449.0,485.0,32767.0
15795,-25.095360000000003,0.5253549541173035,4145.357411764706,2023.0847808172741,-3727.0,1565.0,2491.0,3127.0,3650.0,4131.0,4632.0,5163.0,5815.0,6709.0,13780.0,400.7034117647059,666.276850980931,-7946.0,295.0,327.0,347.0,368.0,388.0,404.0,424.0,449.0,481.0,32767.0
15795,-25.09529,0.4840489855490506,4024.5288495575223,2000.3665467853853,-3542.0,1477.0,2358.0,2986.0,3529.0,4024.0,4516.5999999999985,5034.0,5658.0,6568.0,12247.0,402.56129793510325,625.9821650984348,-13606.0,299.0,331.0,351.0,372.0,392.0,408.0,428.0,453.0,485.0,32767.0
15795,-25.09179,0.4332290745950113,4131.043294117647,2064.939696258572,-4057.0,1513.0,2418.0,3058.0,3614.0,4117.0,4624.0,5171.0,5803.0,6741.0,13176.0,402.69658823529414,672.1721527127388,-12740.0,299.0,331.0,351.0,372.0,388.0,408.0,428.0,449.0,485.0,32767.0
15795,-25.09354,0.5584916355741976,4202.214176470588,2028.226581483026,-3079.0,1634.0,2522.2000000000007,3135.0,3670.0,4185.0,4681.5999999999985,5240.0,5851.0,6789.4000000000015,13977.0,402.22023529411763,710.0885732423502,-32767.0,299.0,331.0,351.0,372.0,392.0,408.0,428.0,449.0,481.0,32767.0
15795,-25.09487,0.5991605528319288,4217.424647058823,2053.479674479006,-4094.0,1629.0,2507.0,3155.0,3698.0,4189.0,4704.0,5252.0,5884.800000000003,6825.0,12738.0,402.035,673.0661442093804,-12222.0,299.0,327.0,351.0,372.0,388.0,408.0,428.0,449.0,481.0,32767.0
15795,-25.09445,0.6213643420401734,4200.6053529411765,1999.1151541636214,-3442.0,1642.0,2515.0,3163.0,3698.0,4193.0,4696.0,5228.0,5847.0,6737.0,11981.0,397.0451176470588,670.616881613917,-32767.0,295.0,327.0,347.0,368.0,384.0,404.0,424.0,449.0,477.0,32767.0
